Header Size:	 78	 	 
Pulse Version:	 42	 	 
Decimal Symbol:	.	 	 
Date Format:	dd/MM/yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0.0000000000e+000	 	 
X-Axis delta:	 1.5625000000e+000	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 5.0000000000e+003	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 5.7970976236e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 6.4000000000e-001	 	 
ReducedSize:	True	 	 
Ref_Signal:	P2	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	P1	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(P1,P2) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	14/11/2014	 
Time:	 	10:01:41:344	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 0.0000000000e+000	-9.00901e-002	 0.00000e+000
2	 1.5625000000e+000	 3.76798e-001	-7.72730e-002
3	 3.1250000000e+000	 1.30315e+000	 3.83225e-002
4	 4.6875000000e+000	 1.44998e+000	 9.77437e-003
5	 6.2500000000e+000	 1.48825e+000	 2.35967e-002
6	 7.8125000000e+000	 1.46357e+000	 3.48203e-002
7	 9.3750000000e+000	 1.38216e+000	 1.34789e-002
8	 1.0937500000e+001	 1.36532e+000	 8.85263e-003
9	 1.2500000000e+001	 1.32087e+000	-2.21817e-002
10	 1.4062500000e+001	 1.27446e+000	-5.84365e-003
11	 1.5625000000e+001	 1.19824e+000	-2.76377e-003
12	 1.7187500000e+001	 1.17189e+000	 1.43233e-002
13	 1.8750000000e+001	 1.16918e+000	 1.70278e-003
14	 2.0312500000e+001	 1.17563e+000	 1.35600e-002
15	 2.1875000000e+001	 1.14194e+000	 2.09631e-002
16	 2.3437500000e+001	 1.13667e+000	 1.97549e-002
17	 2.5000000000e+001	 1.14738e+000	 3.02877e-002
18	 2.6562500000e+001	 1.14734e+000	 1.23186e-002
19	 2.8125000000e+001	 1.14568e+000	 1.51823e-002
20	 2.9687500000e+001	 1.14843e+000	 2.24910e-002
21	 3.1250000000e+001	 1.15065e+000	 2.37906e-002
22	 3.2812500000e+001	 1.14546e+000	 1.35057e-002
23	 3.4375000000e+001	 1.14161e+000	 1.67790e-002
24	 3.5937500000e+001	 1.13829e+000	 1.88896e-002
25	 3.7500000000e+001	 1.14419e+000	 1.51551e-002
26	 3.9062500000e+001	 1.14692e+000	 1.21138e-002
27	 4.0625000000e+001	 1.14205e+000	 1.36322e-002
28	 4.2187500000e+001	 1.14095e+000	 1.61315e-002
29	 4.3750000000e+001	 1.14620e+000	 1.73690e-002
30	 4.5312500000e+001	 1.14495e+000	 1.54841e-002
31	 4.6875000000e+001	 1.14402e+000	 1.66167e-002
32	 4.8437500000e+001	 1.14541e+000	 1.57755e-002
33	 5.0000000000e+001	 1.14487e+000	 1.38736e-002
34	 5.1562500000e+001	 1.14602e+000	 1.50943e-002
35	 5.3125000000e+001	 1.14671e+000	 1.61331e-002
36	 5.4687500000e+001	 1.14756e+000	 1.64806e-002
37	 5.6250000000e+001	 1.14870e+000	 1.69556e-002
38	 5.7812500000e+001	 1.14963e+000	 1.70234e-002
39	 5.9375000000e+001	 1.14928e+000	 1.67095e-002
40	 6.0937500000e+001	 1.14889e+000	 1.55064e-002
41	 6.2500000000e+001	 1.14995e+000	 1.53770e-002
42	 6.4062500000e+001	 1.15026e+000	 1.57516e-002
43	 6.5625000000e+001	 1.15120e+000	 1.60885e-002
