Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop v. 14.1.1.41 - 2010-02-12	 	 
Decimal Symbol:	.	 	 
Date Format:	'yyyy-MM-dd'	 	 
Time Format:	'HH:mm:ss.mmm'	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0.0000000000e+000	 	 
X-Axis delta:	 1.0000000000e+000	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 3.2000000000e+003	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 1.7532045560e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.0000000000e+000	 	 
ReducedSize:	True	 	 
Ref_Signal:	Canal 1	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Canal 2	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(Canal 2,Canal 1) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	'2015-11-06'	 
Time:	 	'14:34:25.320'	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 0.0000000000e+000	 2.88193e-001	 0.00000e+000
2	 1.0000000000e+000	 7.58530e-002	 6.53696e-002
3	 2.0000000000e+000	 5.33479e-001	-2.26676e-002
4	 3.0000000000e+000	 1.03869e+000	-9.20308e-002
5	 4.0000000000e+000	 1.10765e+000	-3.65202e-002
6	 5.0000000000e+000	 1.08763e+000	-3.38132e-002
7	 6.0000000000e+000	 1.05557e+000	-2.59226e-002
8	 7.0000000000e+000	 1.04387e+000	-3.69591e-002
9	 8.0000000000e+000	 1.04891e+000	-3.36107e-002
10	 9.0000000000e+000	 1.07376e+000	-3.07245e-002
11	 1.0000000000e+001	 1.06857e+000	-1.21786e-002
12	 1.1000000000e+001	 1.02908e+000	-2.99936e-002
13	 1.2000000000e+001	 1.06991e+000	-1.34697e-003
14	 1.3000000000e+001	 1.09193e+000	-3.15117e-003
15	 1.4000000000e+001	 1.10094e+000	-1.36145e-002
16	 1.5000000000e+001	 1.08882e+000	-3.45407e-003
17	 1.6000000000e+001	 1.07727e+000	-1.66338e-003
18	 1.7000000000e+001	 1.08889e+000	 3.02501e-003
19	 1.8000000000e+001	 1.09927e+000	 6.24990e-003
20	 1.9000000000e+001	 1.08954e+000	 7.60461e-003
21	 2.0000000000e+001	 1.09494e+000	 9.64893e-004
22	 2.1000000000e+001	 1.10504e+000	 6.33834e-003
23	 2.2000000000e+001	 1.10397e+000	 4.45518e-003
24	 2.3000000000e+001	 1.10763e+000	 8.25348e-003
25	 2.4000000000e+001	 1.10666e+000	 1.32717e-002
26	 2.5000000000e+001	 1.10109e+000	 9.36079e-003
27	 2.6000000000e+001	 1.10224e+000	-4.24725e-003
28	 2.7000000000e+001	 1.10891e+000	-5.50490e-004
29	 2.8000000000e+001	 1.10517e+000	 7.33625e-003
30	 2.9000000000e+001	 1.09320e+000	 6.78293e-003
31	 3.0000000000e+001	 1.09917e+000	 6.39197e-003
32	 3.1000000000e+001	 1.10424e+000	 2.22754e-003
33	 3.2000000000e+001	 1.10563e+000	-5.71359e-003
34	 3.3000000000e+001	 1.10014e+000	-4.55330e-003
35	 3.4000000000e+001	 1.10070e+000	 4.51079e-003
36	 3.5000000000e+001	 1.10336e+000	 5.17439e-003
37	 3.6000000000e+001	 1.10359e+000	-2.66077e-003
38	 3.7000000000e+001	 1.10535e+000	-2.42217e-003
39	 3.8000000000e+001	 1.10310e+000	 2.06462e-003
40	 3.9000000000e+001	 1.10557e+000	 3.83840e-003
41	 4.0000000000e+001	 1.10726e+000	 2.87839e-003
42	 4.1000000000e+001	 1.10512e+000	 2.83367e-003
43	 4.2000000000e+001	 1.10652e+000	 2.94743e-003
44	 4.3000000000e+001	 1.10557e+000	 3.93990e-003
45	 4.4000000000e+001	 1.10376e+000	 6.63648e-003
46	 4.5000000000e+001	 1.10293e+000	 4.76978e-003
47	 4.6000000000e+001	 1.10515e+000	 4.16273e-003
48	 4.7000000000e+001	 1.10554e+000	 4.91676e-003
49	 4.8000000000e+001	 1.10618e+000	 4.29807e-003
50	 4.9000000000e+001	 1.10740e+000	 3.64108e-003
51	 5.0000000000e+001	 1.10656e+000	 3.76170e-003
52	 5.1000000000e+001	 1.10625e+000	 3.64853e-003
53	 5.2000000000e+001	 1.10572e+000	 2.28780e-003
54	 5.3000000000e+001	 1.10521e+000	 3.69908e-003
55	 5.4000000000e+001	 1.10521e+000	 3.99257e-003
56	 5.5000000000e+001	 1.10559e+000	 4.08752e-003
57	 5.6000000000e+001	 1.10530e+000	 5.06531e-003
58	 5.7000000000e+001	 1.10493e+000	 3.94711e-003
59	 5.8000000000e+001	 1.10388e+000	 3.78595e-003
60	 5.9000000000e+001	 1.10554e+000	 6.70551e-003
61	 6.0000000000e+001	 1.10765e+000	 6.42449e-003
62	 6.1000000000e+001	 1.10649e+000	 5.10981e-003
63	 6.2000000000e+001	 1.10491e+000	 4.40452e-003
64	 6.3000000000e+001	 1.10541e+000	 4.38637e-003
65	 6.4000000000e+001	 1.10559e+000	 4.98636e-003
66	 6.5000000000e+001	 1.10613e+000	 5.58258e-003
67	 6.6000000000e+001	 1.10562e+000	 4.58074e-003
68	 6.7000000000e+001	 1.10527e+000	 5.30612e-003
69	 6.8000000000e+001	 1.10474e+000	 5.65371e-003
70	 6.9000000000e+001	 1.10482e+000	 5.69199e-003
71	 7.0000000000e+001	 1.10512e+000	 5.36774e-003
72	 7.1000000000e+001	 1.10479e+000	 6.13724e-003
73	 7.2000000000e+001	 1.10509e+000	 6.81537e-003
74	 7.3000000000e+001	 1.10544e+000	 5.80079e-003
75	 7.4000000000e+001	 1.10503e+000	 5.71885e-003
76	 7.5000000000e+001	 1.10441e+000	 5.70629e-003
77	 7.6000000000e+001	 1.10422e+000	 5.74960e-003
78	 7.7000000000e+001	 1.10444e+000	 6.34031e-003
79	 7.8000000000e+001	 1.10421e+000	 6.19373e-003
80	 7.9000000000e+001	 1.10471e+000	 6.25547e-003
81	 8.0000000000e+001	 1.10441e+000	 6.42385e-003
82	 8.1000000000e+001	 1.10416e+000	 6.59137e-003
83	 8.2000000000e+001	 1.10399e+000	 6.56878e-003
84	 8.3000000000e+001	 1.10427e+000	 6.63027e-003
85	 8.4000000000e+001	 1.10401e+000	 6.71739e-003
86	 8.5000000000e+001	 1.10397e+000	 6.81200e-003
87	 8.6000000000e+001	 1.10378e+000	 7.02995e-003
88	 8.7000000000e+001	 1.10399e+000	 6.90907e-003
89	 8.8000000000e+001	 1.10387e+000	 6.96199e-003
90	 8.9000000000e+001	 1.10363e+000	 7.19804e-003
91	 9.0000000000e+001	 1.10357e+000	 7.42628e-003
92	 9.1000000000e+001	 1.10338e+000	 7.20598e-003
93	 9.2000000000e+001	 1.10308e+000	 7.21963e-003
94	 9.3000000000e+001	 1.10306e+000	 7.36121e-003
95	 9.4000000000e+001	 1.10293e+000	 7.66523e-003
96	 9.5000000000e+001	 1.10287e+000	 7.72403e-003
97	 9.6000000000e+001	 1.10285e+000	 7.80774e-003
98	 9.7000000000e+001	 1.10285e+000	 7.74943e-003
99	 9.8000000000e+001	 1.10274e+000	 7.80298e-003
100	 9.9000000000e+001	 1.10252e+000	 7.67537e-003
101	 1.0000000000e+002	 1.10235e+000	 7.58557e-003
102	 1.0100000000e+002	 1.10204e+000	 7.78580e-003
103	 1.0200000000e+002	 1.10181e+000	 8.01976e-003
104	 1.0300000000e+002	 1.10160e+000	 8.09661e-003
105	 1.0400000000e+002	 1.10146e+000	 8.21429e-003
106	 1.0500000000e+002	 1.10126e+000	 8.42000e-003
107	 1.0600000000e+002	 1.10120e+000	 8.35015e-003
108	 1.0700000000e+002	 1.10112e+000	 8.51217e-003
109	 1.0800000000e+002	 1.10105e+000	 8.66249e-003
110	 1.0900000000e+002	 1.10090e+000	 8.66862e-003
111	 1.1000000000e+002	 1.10055e+000	 8.80982e-003
112	 1.1100000000e+002	 1.10039e+000	 8.95008e-003
113	 1.1200000000e+002	 1.10026e+000	 9.15674e-003
114	 1.1300000000e+002	 1.10019e+000	 9.15649e-003
115	 1.1400000000e+002	 1.10021e+000	 9.17687e-003
116	 1.1500000000e+002	 1.10000e+000	 9.18414e-003
117	 1.1600000000e+002	 1.09967e+000	 9.34943e-003
118	 1.1700000000e+002	 1.09953e+000	 9.46213e-003
119	 1.1800000000e+002	 1.09941e+000	 9.59703e-003
120	 1.1900000000e+002	 1.09932e+000	 9.66547e-003
121	 1.2000000000e+002	 1.09910e+000	 9.84593e-003
122	 1.2100000000e+002	 1.09901e+000	 9.94283e-003
123	 1.2200000000e+002	 1.09881e+000	 1.00886e-002
124	 1.2300000000e+002	 1.09864e+000	 1.02287e-002
125	 1.2400000000e+002	 1.09850e+000	 1.02710e-002
126	 1.2500000000e+002	 1.09842e+000	 1.03336e-002
127	 1.2600000000e+002	 1.09823e+000	 1.05204e-002
