Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop v. 14.1.1.41 - 2010-02-12	 	 
Decimal Symbol:	.	 	 
Date Format:	'yyyy-MM-dd'	 	 
Time Format:	'HH:mm:ss.mmm'	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0.0000000000e+000	 	 
X-Axis delta:	 1.0000000000e+000	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 3.2000000000e+003	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 2.2989657732e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.0000000000e+000	 	 
ReducedSize:	True	 	 
Ref_Signal:	Canal 1	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Canal 2	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(Canal 2,Canal 1) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	'2015-11-06'	 
Time:	 	'09:45:13.444'	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 0.0000000000e+000	 5.00746e-002	 0.00000e+000
2	 1.0000000000e+000	 1.82446e-001	 3.74352e-002
3	 2.0000000000e+000	 4.72332e-001	-1.43957e-002
4	 3.0000000000e+000	 7.34949e-001	 9.45429e-002
5	 4.0000000000e+000	 8.50587e-001	 1.06775e-001
6	 5.0000000000e+000	 9.25866e-001	 8.12907e-002
7	 6.0000000000e+000	 9.22610e-001	 6.31367e-002
8	 7.0000000000e+000	 9.07188e-001	 4.73507e-002
9	 8.0000000000e+000	 9.11200e-001	 4.05579e-002
10	 9.0000000000e+000	 9.19315e-001	 3.86812e-002
11	 1.0000000000e+001	 9.23163e-001	 4.15634e-002
12	 1.1000000000e+001	 9.46986e-001	 2.78283e-002
13	 1.2000000000e+001	 9.60667e-001	 2.53835e-002
14	 1.3000000000e+001	 9.88794e-001	 3.84445e-002
15	 1.4000000000e+001	 9.55919e-001	 6.74167e-002
16	 1.5000000000e+001	 9.46631e-001	 8.14785e-002
17	 1.6000000000e+001	 9.49635e-001	 4.30619e-002
18	 1.7000000000e+001	 9.61693e-001	 4.24378e-002
19	 1.8000000000e+001	 9.62071e-001	 3.11640e-002
20	 1.9000000000e+001	 9.56755e-001	 2.94256e-002
21	 2.0000000000e+001	 9.72163e-001	 3.51629e-002
22	 2.1000000000e+001	 9.83225e-001	 4.31059e-002
23	 2.2000000000e+001	 9.88525e-001	 3.89288e-002
24	 2.3000000000e+001	 9.97775e-001	 2.55226e-002
25	 2.4000000000e+001	 9.89199e-001	 1.96827e-002
26	 2.5000000000e+001	 9.86522e-001	 2.46475e-002
27	 2.6000000000e+001	 9.99091e-001	 2.88566e-002
28	 2.7000000000e+001	 9.93406e-001	 3.49966e-002
29	 2.8000000000e+001	 9.92647e-001	 2.82197e-002
30	 2.9000000000e+001	 9.94652e-001	 2.69698e-002
31	 3.0000000000e+001	 9.94409e-001	 2.97165e-002
32	 3.1000000000e+001	 9.93786e-001	 3.32852e-002
33	 3.2000000000e+001	 9.89131e-001	 2.97277e-002
34	 3.3000000000e+001	 9.84692e-001	 2.33065e-002
35	 3.4000000000e+001	 9.91220e-001	 2.60009e-002
36	 3.5000000000e+001	 9.93267e-001	 2.61865e-002
37	 3.6000000000e+001	 9.95051e-001	 2.54063e-002
38	 3.7000000000e+001	 9.94062e-001	 2.59485e-002
39	 3.8000000000e+001	 9.94526e-001	 2.58990e-002
40	 3.9000000000e+001	 9.95824e-001	 2.31881e-002
41	 4.0000000000e+001	 9.93515e-001	 2.10082e-002
42	 4.1000000000e+001	 9.94005e-001	 2.14907e-002
43	 4.2000000000e+001	 9.93577e-001	 2.36326e-002
44	 4.3000000000e+001	 9.91481e-001	 2.24388e-002
45	 4.4000000000e+001	 9.96122e-001	 2.04818e-002
46	 4.5000000000e+001	 9.95763e-001	 2.18750e-002
47	 4.6000000000e+001	 9.96572e-001	 2.02365e-002
48	 4.7000000000e+001	 9.96858e-001	 1.93609e-002
49	 4.8000000000e+001	 9.94908e-001	 2.08061e-002
50	 4.9000000000e+001	 9.95721e-001	 2.13161e-002
51	 5.0000000000e+001	 9.96554e-001	 2.02995e-002
52	 5.1000000000e+001	 9.96735e-001	 1.91542e-002
53	 5.2000000000e+001	 9.96802e-001	 1.97964e-002
54	 5.3000000000e+001	 9.96832e-001	 1.83864e-002
55	 5.4000000000e+001	 9.96183e-001	 1.88245e-002
56	 5.5000000000e+001	 9.95591e-001	 1.90917e-002
57	 5.6000000000e+001	 9.95769e-001	 1.87458e-002
58	 5.7000000000e+001	 9.95137e-001	 1.74532e-002
59	 5.8000000000e+001	 9.94965e-001	 1.77503e-002
60	 5.9000000000e+001	 9.96406e-001	 1.76580e-002
61	 6.0000000000e+001	 9.96563e-001	 1.75049e-002
62	 6.1000000000e+001	 9.95855e-001	 1.69559e-002
63	 6.2000000000e+001	 9.95968e-001	 1.70371e-002
64	 6.3000000000e+001	 9.96353e-001	 1.71106e-002
65	 6.4000000000e+001	 9.96423e-001	 1.69913e-002
66	 6.5000000000e+001	 9.96912e-001	 1.66433e-002
67	 6.6000000000e+001	 9.96812e-001	 1.66467e-002
68	 6.7000000000e+001	 9.96475e-001	 1.65781e-002
69	 6.8000000000e+001	 9.95503e-001	 1.66316e-002
70	 6.9000000000e+001	 9.95885e-001	 1.61126e-002
71	 7.0000000000e+001	 9.95948e-001	 1.62075e-002
72	 7.1000000000e+001	 9.95818e-001	 1.62833e-002
73	 7.2000000000e+001	 9.96148e-001	 1.56573e-002
74	 7.3000000000e+001	 9.96776e-001	 1.53508e-002
75	 7.4000000000e+001	 9.96080e-001	 1.51385e-002
76	 7.5000000000e+001	 9.95885e-001	 1.50908e-002
77	 7.6000000000e+001	 9.95690e-001	 1.55207e-002
78	 7.7000000000e+001	 9.95476e-001	 1.53822e-002
79	 7.8000000000e+001	 9.95684e-001	 1.51440e-002
80	 7.9000000000e+001	 9.95652e-001	 1.46615e-002
81	 8.0000000000e+001	 9.95496e-001	 1.45569e-002
82	 8.1000000000e+001	 9.95759e-001	 1.50741e-002
83	 8.2000000000e+001	 9.95364e-001	 1.47853e-002
84	 8.3000000000e+001	 9.94900e-001	 1.45935e-002
85	 8.4000000000e+001	 9.95086e-001	 1.47698e-002
86	 8.5000000000e+001	 9.95395e-001	 1.43046e-002
87	 8.6000000000e+001	 9.95597e-001	 1.44332e-002
88	 8.7000000000e+001	 9.95137e-001	 1.43471e-002
89	 8.8000000000e+001	 9.94950e-001	 1.40461e-002
90	 8.9000000000e+001	 9.95189e-001	 1.39204e-002
91	 9.0000000000e+001	 9.94668e-001	 1.40240e-002
92	 9.1000000000e+001	 9.94627e-001	 1.41591e-002
93	 9.2000000000e+001	 9.94765e-001	 1.41016e-002
94	 9.3000000000e+001	 9.94711e-001	 1.39788e-002
95	 9.4000000000e+001	 9.94487e-001	 1.39687e-002
96	 9.5000000000e+001	 9.94317e-001	 1.38172e-002
97	 9.6000000000e+001	 9.94326e-001	 1.38488e-002
98	 9.7000000000e+001	 9.94197e-001	 1.37384e-002
99	 9.8000000000e+001	 9.94140e-001	 1.35648e-002
100	 9.9000000000e+001	 9.94237e-001	 1.34717e-002
101	 1.0000000000e+002	 9.94105e-001	 1.33429e-002
102	 1.0100000000e+002	 9.93855e-001	 1.32602e-002
103	 1.0200000000e+002	 9.93710e-001	 1.32987e-002
104	 1.0300000000e+002	 9.93554e-001	 1.33192e-002
105	 1.0400000000e+002	 9.93517e-001	 1.33176e-002
106	 1.0500000000e+002	 9.93386e-001	 1.32556e-002
107	 1.0600000000e+002	 9.93215e-001	 1.32124e-002
108	 1.0700000000e+002	 9.93012e-001	 1.33150e-002
109	 1.0800000000e+002	 9.92880e-001	 1.32977e-002
110	 1.0900000000e+002	 9.92804e-001	 1.32699e-002
111	 1.1000000000e+002	 9.92737e-001	 1.32269e-002
112	 1.1100000000e+002	 9.92585e-001	 1.32162e-002
113	 1.1200000000e+002	 9.92493e-001	 1.32088e-002
114	 1.1300000000e+002	 9.92424e-001	 1.31868e-002
115	 1.1400000000e+002	 9.92245e-001	 1.31160e-002
116	 1.1500000000e+002	 9.92150e-001	 1.30250e-002
117	 1.1600000000e+002	 9.92014e-001	 1.29526e-002
118	 1.1700000000e+002	 9.91864e-001	 1.30163e-002
119	 1.1800000000e+002	 9.91750e-001	 1.30159e-002
120	 1.1900000000e+002	 9.91626e-001	 1.30092e-002
121	 1.2000000000e+002	 9.91532e-001	 1.30543e-002
122	 1.2100000000e+002	 9.91464e-001	 1.30586e-002
123	 1.2200000000e+002	 9.91304e-001	 1.30735e-002
124	 1.2300000000e+002	 9.91109e-001	 1.30820e-002
125	 1.2400000000e+002	 9.90991e-001	 1.30026e-002
126	 1.2500000000e+002	 9.90814e-001	 1.29762e-002
127	 1.2600000000e+002	 9.90723e-001	 1.29672e-002
