Span	12800 Hz			
Sample frequency	32768 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-16384 Hz			
X axis unit	Hz			
Number of lines	16385			
Value type	Complex			
Y axis unit	g			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Actual sensitivity	10.2774 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 °			
User comment				
User channel id				
Channel id	4			
Channel name	C2			
DOF id	Point2:None			
Point direction sign				
Point direction absolute	None			
Point direction	None			
Point id node	Point2			
Point id component				
Point id	Point2			
Overload	0			
Outer run slope	Time Tracking			
Original run	FRF Aula Chefe real			
Original section	Section1			
Original project	Project1			
Original project dir	C:\LMS\UserConfiguration\ScadasLVA20c\LMS Test.Lab 14A\Project Templates\TmpNew\95-cf5a67d2-4088-471b-aacc-cb96a6477055\Project1.lms			
Spectrum format	linear			
Spectrum scaling	RMS			
Average type	Linear average			
Number of averages	30			
Window type	Uniform			
Window correction mode	amplitude			
Function class	Spectrum			
Weighting	Linear			
Modified	Fri Nov 27 2015 10:17:20			
Created	Fri Nov 27 2015 10:17:20			
0.000000000e+000	3.274258014e-005	0.000000000e+000		
1.000000000e+000	1.777533068e-005	-1.417233366e-005		
2.000000000e+000	3.973522751e-005	8.304777049e-006		
3.000000000e+000	4.264421571e-005	1.770715000e-006		
4.000000000e+000	1.808570991e-005	-3.642499084e-006		
5.000000000e+000	4.049564898e-005	-9.565643044e-006		
6.000000000e+000	1.636869328e-005	-9.088341144e-006		
7.000000000e+000	-6.252788247e-007	3.174455943e-005		
8.000000000e+000	9.857993397e-005	-6.645703202e-005		
9.000000000e+000	2.250282268e-005	1.430670515e-005		
1.000000000e+001	4.090250282e-005	2.288241315e-005		
1.100000000e+001	5.267540311e-005	1.581352539e-005		
1.200000000e+001	2.247753139e-006	2.000332222e-005		
1.300000000e+001	8.720684798e-005	-9.689296256e-009		
1.400000000e+001	8.831681575e-005	-4.650825732e-005		
1.500000000e+001	2.878562672e-006	4.710027594e-005		
1.600000000e+001	2.970613535e-005	-2.821363457e-005		
1.700000000e+001	9.376708609e-005	6.556469044e-006		
1.800000000e+001	-5.882988841e-005	-1.879959682e-005		
1.900000000e+001	8.302392005e-005	-1.351832289e-005		
2.000000000e+001	-1.790982236e-005	2.317302855e-005		
2.100000000e+001	-7.949138370e-005	4.347842768e-005		
2.200000000e+001	1.107738755e-005	-1.081404695e-004		
2.300000000e+001	1.927650238e-004	-9.573767003e-005		
2.400000000e+001	4.451798522e-005	1.445309905e-005		
2.500000000e+001	-7.730030819e-006	1.156973008e-004		
2.600000000e+001	2.081844493e-004	1.034353990e-004		
2.700000000e+001	-2.868461469e-004	1.432814280e-004		
2.800000000e+001	2.761740173e-004	6.121403631e-005		
2.900000000e+001	2.536358144e-004	1.113191355e-004		
3.000000000e+001	1.235497215e-004	3.203814853e-005		
3.100000000e+001	-1.168018673e-004	8.264579120e-005		
3.200000000e+001	6.694313408e-004	-7.664936311e-005		
3.300000000e+001	7.998879176e-004	-2.124365202e-004		
3.400000000e+001	-5.199832063e-004	3.992893411e-004		
3.500000000e+001	-9.671938763e-004	2.543644600e-004		
3.600000000e+001	-1.415986673e-003	4.291379262e-005		
3.700000000e+001	-3.207114770e-004	-8.778431684e-004		
3.800000000e+001	9.436075182e-005	-3.032655311e-004		
3.900000000e+001	-8.534706495e-004	-7.333850573e-004		
4.000000000e+001	-1.321893478e-004	-3.945328451e-004		
4.100000000e+001	-4.985588412e-004	-5.180345482e-004		
4.200000000e+001	3.474529370e-004	-3.061395382e-004		
4.300000000e+001	-6.634861720e-004	-4.120160662e-004		
4.400000000e+001	2.538343934e-004	1.473218379e-004		
4.500000000e+001	-3.574699978e-004	8.564763067e-004		
4.600000000e+001	3.593862717e-004	-4.042362132e-005		
4.700000000e+001	8.744925501e-005	-2.531411236e-004		
4.800000000e+001	-1.375912020e-004	1.066666181e-004		
4.900000000e+001	-1.265097226e-004	2.096241951e-004		
5.000000000e+001	2.608436425e-005	2.393292175e-004		
5.100000000e+001	4.759098101e-005	8.602769568e-005		
