Span	12800 Hz			Span	12800 Hz			
Sample frequency	32768 Hz			Sample frequency	32768 Hz			
Frequency resolution	1 Hz			Frequency resolution	1 Hz			
X axis increment	1 Hz			X axis increment	1 Hz			
X axis	0-16384 Hz			X axis	0-16384 Hz			
X axis unit	Hz			X axis unit	Hz			
Number of lines	16385			Number of lines	16385			
Value type	Complex			Value type	Complex			
Y axis unit	g			Y axis unit	N			
PhysicalChannelId	Input1			PhysicalChannelId	Input3			
Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			
Measured quantity	Acceleration			Measured quantity	Force			
Actual sensitivity	10.4147 mV/g			Actual sensitivity	112.41 mV/N			
Transducer sn				Transducer sn				
Transducer id				Transducer id				
Cylinder offset	0 °			Cylinder offset	0 °			
User comment				User comment				
User channel id				User channel id				
Channel id	3			Channel id	5			
Channel name	C1			Channel name	C3			
DOF id	Point1:None			DOF id	Point3:None			
Point direction sign				Point direction sign				
Point direction absolute	None			Point direction absolute	None			
Point direction	None			Point direction	None			
Point id node	Point1			Point id node	Point3			
Point id component				Point id component				
Point id	Point1			Point id	Point3			
Overload	0			Overload	0			
Outer run slope	Time Tracking			Outer run slope	Time Tracking			
Original run	FRF Aula Chefe real			Original run	FRF Aula Chefe real			
Original section	Section1			Original section	Section1			
Original project	Project1			Original project	Project1			
Original project dir	C:\LMS\UserConfiguration\ScadasLVA20c\LMS Test.Lab 14A\Project Templates\TmpNew\95-cf5a67d2-4088-471b-aacc-cb96a6477055\Project1.lms			Original project dir	C:\LMS\UserConfiguration\ScadasLVA20c\LMS Test.Lab 14A\Project Templates\TmpNew\95-cf5a67d2-4088-471b-aacc-cb96a6477055\Project1.lms			
Spectrum format	linear			Spectrum format	linear			
Spectrum scaling	RMS			Spectrum scaling	RMS			
Average type	Linear average			Average type	Linear average			
Number of averages	30			Number of averages	30			
Window type	Uniform			Window type	Uniform			
Window correction mode	amplitude			Window correction mode	amplitude			
Function class	Spectrum			Function class	Spectrum			
Weighting	Linear			Weighting	Linear			
Modified	Fri Nov 27 2015 10:17:20			Modified	Fri Nov 27 2015 10:17:20			
Created	Fri Nov 27 2015 10:17:20			Created	Fri Nov 27 2015 10:17:20			
0.000000000e+000	-1.009972867e-005	0.000000000e+000		0.000000000e+000	1.602270786e-004	0.000000000e+000		
1.000000000e+000	5.012285236e-005	6.269278684e-004		1.000000000e+000	1.882413926e-004	-7.787824143e-005		
2.000000000e+000	3.575713054e-004	7.642901251e-005		2.000000000e+000	-3.025924379e-004	-3.516501165e-004		
3.000000000e+000	-3.168396835e-004	2.181338926e-004		3.000000000e+000	4.824676435e-004	-1.711234916e-003		
4.000000000e+000	-5.074417766e-005	4.189900285e-004		4.000000000e+000	3.895948408e-003	6.678297650e-003		
5.000000000e+000	-5.784085706e-005	-3.925038971e-005		5.000000000e+000	7.678738795e-003	-4.502731375e-003		
6.000000000e+000	1.792496212e-004	8.497440035e-005		6.000000000e+000	-8.748973487e-004	-3.428336699e-003		
7.000000000e+000	-7.983422285e-006	-1.404341248e-005		7.000000000e+000	-7.774945349e-003	3.918478731e-003		
8.000000000e+000	1.431772119e-004	-1.212949919e-004		8.000000000e+000	-2.743442077e-003	9.279549122e-003		
9.000000000e+000	-1.501302218e-004	-7.960557883e-006		9.000000000e+000	-9.368406609e-004	-7.849831134e-003		
1.000000000e+001	2.809838736e-005	-9.208549715e-005		1.000000000e+001	2.725674130e-004	6.490153726e-003		
1.100000000e+001	-7.153247218e-006	1.449205245e-005		1.100000000e+001	2.405585255e-003	2.963066101e-003		
1.200000000e+001	-6.887740446e-005	7.262887281e-005		1.200000000e+001	-5.895046983e-003	-2.645432833e-004		
1.300000000e+001	-8.220123191e-005	7.926112521e-006		1.300000000e+001	7.986024022e-003	1.230844995e-003		
1.400000000e+001	3.239478779e-005	7.524731981e-005		1.400000000e+001	5.819341168e-003	-4.963270389e-003		
1.500000000e+001	2.051040786e-005	2.316064852e-005		1.500000000e+001	-5.243195686e-003	5.068358500e-003		
1.600000000e+001	-3.007036615e-005	2.552457852e-005		1.600000000e+001	3.233362222e-004	-2.299517859e-003		
1.700000000e+001	3.399568617e-005	-2.647203743e-005		1.700000000e+001	4.001458175e-003	1.136393403e-003		
1.800000000e+001	-3.547653847e-005	1.544393926e-005		1.800000000e+001	-5.143388640e-003	-1.099242247e-003		
1.900000000e+001	7.519327681e-005	-3.019627061e-005		1.900000000e+001	2.669025678e-003	1.668596058e-003		
2.000000000e+001	8.275954563e-005	1.017846926e-004		2.000000000e+001	-2.555658808e-003	3.155190498e-004		
2.100000000e+001	-3.752018285e-005	3.281492237e-005		2.100000000e+001	-4.416856915e-003	1.794618671e-003		
2.200000000e+001	1.636464079e-005	-8.014286742e-005		2.200000000e+001	-5.972312065e-004	-3.599292366e-003		
2.300000000e+001	4.431448263e-005	-2.126937661e-005		2.300000000e+001	4.294082057e-003	-2.121977275e-003		
2.400000000e+001	-4.909838887e-006	4.111064997e-006		2.400000000e+001	3.492475953e-004	6.506001228e-004		
2.500000000e+001	3.374149415e-005	2.244397636e-005		2.500000000e+001	-1.248589600e-003	2.493550070e-003		
2.600000000e+001	4.734287290e-005	1.258367760e-004		2.600000000e+001	3.615713678e-003	2.447045175e-003		
2.700000000e+001	-7.815865550e-005	7.586091704e-005		2.700000000e+001	-5.901836324e-003	2.449930413e-003		
2.800000000e+001	6.110338023e-005	-6.714537390e-006		2.800000000e+001	3.660079790e-003	1.138074091e-003		
2.900000000e+001	1.689415888e-004	6.405486385e-005		2.900000000e+001	2.766991034e-003	1.645828714e-003		
3.000000000e+001	5.532301581e-006	3.420361371e-005		3.000000000e+001	9.831974749e-004	4.100436636e-004		
3.100000000e+001	-3.643005755e-005	4.145839187e-005		3.100000000e+001	-1.428966643e-003	7.096847403e-004		
3.200000000e+001	3.099539707e-004	-1.276836001e-006		3.200000000e+001	5.125535186e-003	-3.378478868e-004		
3.300000000e+001	3.944040916e-004	-8.498457978e-005		3.300000000e+001	5.024238955e-003	-1.079941168e-003		
3.400000000e+001	-2.758709016e-004	1.845961800e-004		3.400000000e+001	-2.963108942e-003	1.844938728e-003		
3.500000000e+001	-5.071882939e-004	1.657327703e-004		3.500000000e+001	-3.819260979e-003	6.107732188e-004		
3.600000000e+001	-8.082516010e-004	1.145425198e-004		3.600000000e+001	-3.511758521e-003	-4.653488286e-004		
3.700000000e+001	-2.202984615e-004	-4.917077206e-004		3.700000000e+001	-9.865134052e-005	-1.029965235e-003		
3.800000000e+001	-1.536215359e-005	-2.303378874e-004		3.800000000e+001	2.915230871e-004	2.373822499e-004		
3.900000000e+001	-6.355598853e-004	-4.195186705e-004		3.900000000e+001	1.275469549e-003	1.386905496e-004		
4.000000000e+001	-1.119846508e-004	-2.267049872e-004		4.000000000e+001	5.289837718e-004	6.362201530e-004		
4.100000000e+001	-4.760173144e-004	-4.062843864e-004		4.100000000e+001	2.000457607e-003	1.410297002e-003		
4.200000000e+001	2.791491658e-004	-2.185961754e-004		4.200000000e+001	-1.407332486e-003	1.597914612e-003		
4.300000000e+001	-7.658382537e-004	-3.739182762e-004		4.300000000e+001	4.467052873e-003	1.956135500e-003		
4.400000000e+001	3.410664734e-004	2.224570949e-004		4.400000000e+001	-1.754904981e-003	-1.081758761e-003		
4.500000000e+001	-4.817685101e-004	1.259680248e-003		4.500000000e+001	2.976495074e-003	-8.324426599e-003		
4.600000000e+001	6.076281379e-004	-4.752157389e-005		4.600000000e+001	-3.717266256e-003	5.861800746e-004		
4.700000000e+001	2.968381776e-005	-4.259939534e-004		4.700000000e+001	-4.556496569e-004	3.375293920e-003		
4.800000000e+001	-4.298309646e-004	4.503825695e-004		4.800000000e+001	3.083967837e-003	-3.223038511e-003		
4.900000000e+001	-1.463167509e-004	8.046018677e-004		4.900000000e+001	1.134907361e-003	-5.177335814e-003		
5.000000000e+001	1.598197602e-004	1.030019700e-003		5.000000000e+001	-5.927909515e-004	-6.883495487e-003		
5.100000000e+001	4.836040608e-004	6.475860279e-004		5.100000000e+001	-2.909445204e-003	-4.242419731e-003		
5.200000000e+001	-9.546356253e-004	9.566390921e-005		5.200000000e+001	5.891572218e-003	-1.095140833e-004		
5.300000000e+001	3.972628089e-004	6.073768988e-004		5.300000000e+001	-1.906390069e-003	-2.887615003e-003		
5.400000000e+001	5.047127032e-004	5.375324779e-004		5.400000000e+001	-1.966601703e-003	-2.113643568e-003		
5.500000000e+001	2.065985708e-004	6.597642151e-004		5.500000000e+001	-6.470476510e-004	-2.129927278e-003		
5.600000000e+001	-2.338152483e-003	-1.136621905e-003		5.600000000e+001	7.080921903e-003	4.308164585e-003		
5.700000000e+001	-2.142652331e-004	-2.104676101e-003		5.700000000e+001	8.416220226e-005	5.020693410e-003		
5.800000000e+001	2.974778579e-003	2.683656714e-003		5.800000000e+001	-2.551161218e-003	-3.492090618e-003		
5.900000000e+001	-1.155845614e-003	-1.746115794e-003		5.900000000e+001	-3.458219871e-004	9.164299699e-004		
6.000000000e+001	-3.895415681e-003	-4.279821088e-003		6.000000000e+001	-6.037513260e-003	-2.769485582e-003		
6.100000000e+001	-2.415509337e-004	1.977749669e-004		6.100000000e+001	-5.004607956e-004	1.019041985e-003		
6.200000000e+001	5.833745670e-004	1.912988530e-004		6.200000000e+001	2.500660717e-003	8.864527335e-004		
