Span	12800 Hz			Span	12800 Hz			
Sample frequency	32768 Hz			Sample frequency	32768 Hz			
Frequency resolution	1 Hz			Frequency resolution	1 Hz			
X axis increment	1 Hz			X axis increment	1 Hz			
X axis	0-16384 Hz			X axis	0-16384 Hz			
X axis unit	Hz			X axis unit	Hz			
Number of lines	16385			Number of lines	16385			
Value type	Complex			Value type	Complex			
Y axis unit	/			Y axis unit	N/g			
Reference actual sensitivity	10.2774 mV/g			Reference actual sensitivity	10.2774 mV/g			
Reference transducer sn				Reference transducer sn				
Reference transducer id				Reference transducer id				
Reference user comment				Reference user comment				
Reference user channel id				Reference user channel id				
Reference channel id	4			Reference channel id	4			
Reference DOF id	Point2:None			Reference DOF id	Point2:None			
Reference point direction sign				Reference point direction sign				
Reference point direction absolute	None			Reference point direction absolute	None			
Reference point direction	None			Reference point direction	None			
Reference point id node	Point2			Reference point id node	Point2			
Reference point id component				Reference point id component				
Reference point id	Point2			Reference point id	Point2			
PhysicalChannelId	Input1			PhysicalChannelId	Input3			
Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			
Measured quantity	Acceleration			Measured quantity	Force			
Actual sensitivity	10.4147 mV/g			Actual sensitivity	112.41 mV/N			
Transducer sn				Transducer sn				
Transducer id				Transducer id				
Cylinder offset	0 °			Cylinder offset	0 °			
User comment				User comment				
User channel id				User channel id				
Channel id	3			Channel id	5			
Channel name	C1			Channel name	C3			
Driving point	0			Driving point	0			
DOF id	Point1:None			DOF id	Point3:None			
Point direction sign				Point direction sign				
Point direction absolute	None			Point direction absolute	None			
Point direction	None			Point direction	None			
Point id node	Point1			Point id node	Point3			
Point id component				Point id component				
Point id	Point1			Point id	Point3			
Overload	0			Overload	0			
Outer run slope	Time Tracking			Outer run slope	Time Tracking			
Original run	FRF Aula Chefe real			Original run	FRF Aula Chefe real			
Original section	Section1			Original section	Section1			
Original project	Project1			Original project	Project1			
Original project dir	C:\LMS\UserConfiguration\ScadasLVA20c\LMS Test.Lab 14A\Project Templates\TmpNew\95-cf5a67d2-4088-471b-aacc-cb96a6477055\Project1.lms			Original project dir	C:\LMS\UserConfiguration\ScadasLVA20c\LMS Test.Lab 14A\Project Templates\TmpNew\95-cf5a67d2-4088-471b-aacc-cb96a6477055\Project1.lms			
FRF scaling	GlobalScaling			FRF scaling	GlobalScaling			
FRF estimation method	H1			FRF estimation method	H1			
Average type	Linear average			Average type	Linear average			
Number of averages	30			Number of averages	30			
Reference window type	Uniform			Reference window type	Uniform			
Reference window correction mode	amplitude			Reference window correction mode	amplitude			
Window type	Uniform			Window type	Uniform			
Window correction mode	amplitude			Window correction mode	amplitude			
Function class	FRF			Function class	FRF			
Weighting	Linear			Weighting	Linear			
Modified	Fri Nov 27 2015 10:17:20			Modified	Fri Nov 27 2015 10:17:20			
Created	Fri Nov 27 2015 10:17:20			Created	Fri Nov 27 2015 10:17:20			
0.000000000e+000	1.590047628e-001	0.000000000e+000		0.000000000e+000	3.414442533e+000	0.000000000e+000		
1.000000000e+000	1.053992212e-001	-2.752239406e-001		1.000000000e+000	-9.442190519e-001	1.283323800e+000		
2.000000000e+000	2.018533051e-001	9.307259917e-001		2.000000000e+000	-6.287446239e-001	2.308984945e+000		
3.000000000e+000	2.378145605e-001	1.538737714e-001		3.000000000e+000	8.847087760e+000	1.030480644e+001		
4.000000000e+000	-2.090532333e-001	-1.256541908e-001		4.000000000e+000	-1.703765105e+001	3.654831836e+000		
5.000000000e+000	-3.034604788e-001	4.053071439e-001		5.000000000e+000	-3.473578028e+000	-1.646710976e+001		
6.000000000e+000	5.820566416e-002	3.347552419e-001		6.000000000e+000	1.761048718e+001	1.535229325e+001		
7.000000000e+000	8.975085616e-002	5.579582974e-002		7.000000000e+000	2.276430787e+001	-9.244024300e+000		
8.000000000e+000	7.085566521e-001	2.891926765e-001		8.000000000e+000	-8.284342233e+000	9.397910794e+000		
9.000000000e+000	2.836819887e-001	2.061689645e-001		9.000000000e+000	-7.689653170e+000	3.617912265e+000		
1.000000000e+001	6.032521650e-002	-1.227911711e-001		1.000000000e+001	1.155626664e+001	1.206116788e+000		
1.100000000e+001	2.720400393e-001	-1.021946222e-001		1.100000000e+001	1.552197410e+001	3.274876241e+000		
1.200000000e+001	3.761267364e-001	-1.407690533e-002		1.200000000e+001	1.664248503e+001	1.141538400e+001		
1.300000000e+001	2.375428379e-001	1.788209677e-001		1.300000000e+001	2.823432450e+001	-1.530791751e+001		
1.400000000e+001	4.959245771e-002	1.948926598e-002		1.400000000e+001	2.470643796e+001	1.572889515e+000		
1.500000000e+001	-5.865263566e-002	-6.114479899e-002		1.500000000e+001	2.818890481e+001	1.436404793e+001		
1.600000000e+001	1.824932396e-001	1.035493836e-001		1.600000000e+001	2.567311793e+001	1.714931227e+001		
1.700000000e+001	3.490842283e-001	6.041165069e-002		1.700000000e+001	3.394293128e+001	2.406395225e+000		
1.800000000e+001	2.855050862e-001	-1.874055713e-001		1.800000000e+001	3.397001803e+001	4.818490708e+000		
1.900000000e+001	2.111649066e-001	-1.010245755e-001		1.900000000e+001	2.994375176e+001	5.931695623e-001		
2.000000000e+001	1.634226143e-001	5.225807801e-002		2.000000000e+001	2.456320438e+001	3.945564549e+000		
2.100000000e+001	2.187507451e-001	-1.408096254e-001		2.100000000e+001	2.765563147e+001	4.408369692e+000		
2.200000000e+001	1.993092448e-001	4.390777554e-003		2.200000000e+001	2.400259411e+001	1.879314155e+000		
2.300000000e+001	2.311528772e-001	-9.144229442e-002		2.300000000e+001	2.030015998e+001	1.923629390e+000		
2.400000000e+001	3.039946854e-001	7.831551880e-002		2.400000000e+001	2.086164470e+001	4.119735705e+000		
2.500000000e+001	2.935248613e-001	-1.877158508e-002		2.500000000e+001	2.038250976e+001	1.781464314e+000		
2.600000000e+001	3.447985053e-001	1.245358866e-002		2.600000000e+001	1.628961735e+001	1.950230105e+000		
2.700000000e+001	2.760891020e-001	2.098938916e-003		2.700000000e+001	1.377823308e+001	-6.474148376e-001		
2.800000000e+001	3.593143225e-001	-1.195410490e-001		2.800000000e+001	1.396138015e+001	8.344600157e-001		
2.900000000e+001	3.343051970e-001	-2.147970907e-002		2.900000000e+001	1.245455754e+001	1.917606258e-001		
3.000000000e+001	4.134911597e-001	5.473224074e-002		3.000000000e+001	1.073732692e+001	1.479900704e+000		
3.100000000e+001	4.373206198e-001	-5.191034824e-002		3.100000000e+001	8.994877690e+000	1.235837242e+000		
3.200000000e+001	4.049834609e-001	-4.418002442e-002		3.200000000e+001	7.765433510e+000	7.080342145e-001		
3.300000000e+001	4.679008722e-001	-4.760622687e-004		3.300000000e+001	6.073673432e+000	9.518228779e-001		
3.400000000e+001	4.557913244e-001	-3.566625342e-002		3.400000000e+001	4.920566058e+000	3.832599702e-001		
3.500000000e+001	4.919442534e-001	-3.743253276e-002		3.500000000e+001	3.285745134e+000	5.491472094e-001		
3.600000000e+001	5.915199518e-001	-3.424413502e-002		3.600000000e+001	2.162730992e+000	5.706899098e-001		
3.700000000e+001	6.119788289e-001	-1.456746366e-002		3.700000000e+001	9.005696606e-001	3.430514401e-001		
3.800000000e+001	6.577099562e-001	-2.087369375e-002		3.800000000e+001	4.041612217e-002	4.352371545e-001		
3.900000000e+001	7.214522958e-001	-2.135322988e-002		3.900000000e+001	-1.090077868e+000	7.194803952e-001		
4.000000000e+001	7.411541939e-001	-1.617365517e-002		4.000000000e+001	-2.154890507e+000	5.968187689e-001		
4.100000000e+001	8.473949432e-001	-3.735625371e-002		4.100000000e+001	-3.265527398e+000	4.625790061e-001		
4.200000000e+001	8.963296413e-001	-2.533366531e-002		4.200000000e+001	-4.256053224e+000	4.053057978e-001		
4.300000000e+001	1.072902679e+000	-3.126000986e-002		4.300000000e+001	-5.909278404e+000	4.464969092e-001		
4.400000000e+001	1.173409581e+000	-5.645873770e-002		4.400000000e+001	-6.978070250e+000	6.229087574e-001		
4.500000000e+001	1.309511423e+000	-4.686139151e-002		4.500000000e+001	-8.337285888e+000	6.453660153e-001		
4.600000000e+001	1.623344421e+000	-2.965549529e-001		4.600000000e+001	-1.044662899e+001	1.968233525e+000		
4.700000000e+001	1.688867927e+000	-2.831695676e-001		4.700000000e+001	-1.203103052e+001	2.207368006e+000		
4.800000000e+001	2.077991962e+000	-2.889098525e-001		4.800000000e+001	-1.472288475e+001	2.441466392e+000		
4.900000000e+001	1.965482593e+000	-8.771982789e-001		4.900000000e+001	-1.311377665e+001	5.681316036e+000		
5.000000000e+001	2.250446081e+000	-2.964082658e-001		5.000000000e+001	-1.461685482e+001	1.984775056e+000		
5.100000000e+001	2.026160240e+000	-5.182638764e-001		5.100000000e+001	-1.484726633e+001	4.040378968e+000		
5.200000000e+001	6.817818880e-001	-1.032203317e+000		5.200000000e+001	-8.064993964e+000	6.557685614e+000		
5.300000000e+001	-1.863580585e+000	-4.515438899e-002		5.300000000e+001	5.094701558e+000	1.007874289e+000		
5.400000000e+001	-2.911044359e+000	-1.016308784e+000		5.400000000e+001	9.944580799e+000	5.473780955e+000		
5.500000000e+001	-3.183495760e+000	-2.282677889e-001		5.500000000e+001	9.229516467e+000	1.480463014e+000		
5.600000000e+001	-2.882667780e+000	-7.351780683e-002		5.600000000e+001	7.465256385e+000	3.561228108e-001		
5.700000000e+001	-2.456759214e+000	-1.532937139e-001		5.700000000e+001	4.266443101e+000	8.702469300e-001		
