Span	12800 Hz			Span	12800 Hz			Span	12800 Hz			Span	12800 Hz			
Sample frequency	32768 Hz			Sample frequency	32768 Hz			Sample frequency	32768 Hz			Sample frequency	32768 Hz			
Frequency resolution	1 Hz			Frequency resolution	1 Hz			Frequency resolution	1 Hz			Frequency resolution	1 Hz			
X axis increment	1 Hz			X axis increment	1 Hz			X axis increment	1 Hz			X axis increment	1 Hz			
X axis	0-16384 Hz			X axis	0-16384 Hz			X axis	0-16384 Hz			X axis	0-16384 Hz			
X axis unit	Hz			X axis unit	Hz			X axis unit	Hz			X axis unit	Hz			
Number of lines	16385			Number of lines	16385			Number of lines	16385			Number of lines	16385			
Value type	Complex			Value type	Complex			Value type	Complex			Value type	Complex			
Y axis unit	g/N			Y axis unit	g/N			Y axis unit	g/N			Y axis unit	g/N			
Reference actual sensitivity	112 mV/N			Reference actual sensitivity	112 mV/N			Reference actual sensitivity	112 mV/N			Reference actual sensitivity	112 mV/N			
Reference transducer sn				Reference transducer sn				Reference transducer sn				Reference transducer sn				
Reference transducer id				Reference transducer id				Reference transducer id				Reference transducer id				
Reference user comment				Reference user comment				Reference user comment				Reference user comment				
Reference user channel id				Reference user channel id				Reference user channel id				Reference user channel id				
Reference channel id	3			Reference channel id	3			Reference channel id	3			Reference channel id	3			
Reference DOF id	Celula de Carga:None			Reference DOF id	Celula de Carga:None			Reference DOF id	Celula de Carga:None			Reference DOF id	Celula de Carga:None			
Reference point direction sign				Reference point direction sign				Reference point direction sign				Reference point direction sign				
Reference point direction absolute	None			Reference point direction absolute	None			Reference point direction absolute	None			Reference point direction absolute	None			
Reference point direction	None			Reference point direction	None			Reference point direction	None			Reference point direction	None			
Reference point id node	Celula de Carga			Reference point id node	Celula de Carga			Reference point id node	Celula de Carga			Reference point id node	Celula de Carga			
Reference point id component				Reference point id component				Reference point id component				Reference point id component				
Reference point id	Celula de Carga			Reference point id	Celula de Carga			Reference point id	Celula de Carga			Reference point id	Celula de Carga			
