Span	12800 Hz			Span	12800 Hz			Span	12800 Hz			
Sample frequency	32768 Hz			Sample frequency	32768 Hz			Sample frequency	32768 Hz			
Frequency resolution	1 Hz			Frequency resolution	1 Hz			Frequency resolution	1 Hz			
X axis increment	1 Hz			X axis increment	1 Hz			X axis increment	1 Hz			
X axis	0-16384 Hz			X axis	0-16384 Hz			X axis	0-16384 Hz			
X axis unit	Hz			X axis unit	Hz			X axis unit	Hz			
Number of lines	16385			Number of lines	16385			Number of lines	16385			
Value type	Complex			Value type	Complex			Value type	Complex			
Y axis unit	g/N			Y axis unit	g/N			Y axis unit	g/N			
Reference actual sensitivity	112 mV/N			Reference actual sensitivity	112 mV/N			Reference actual sensitivity	112 mV/N			
Reference transducer sn				Reference transducer sn				Reference transducer sn				
Reference transducer id				Reference transducer id				Reference transducer id				
Reference user comment				Reference user comment				Reference user comment				
Reference user channel id				Reference user channel id				Reference user channel id				
Reference channel id	3			Reference channel id	3			Reference channel id	3			
Reference DOF id	Celula de Carga:None			Reference DOF id	Celula de Carga:None			Reference DOF id	Celula de Carga:None			
Reference point direction sign				Reference point direction sign				Reference point direction sign				
Reference point direction absolute	None			Reference point direction absolute	None			Reference point direction absolute	None			
Reference point direction	None			Reference point direction	None			Reference point direction	None			
Reference point id node	Celula de Carga			Reference point id node	Celula de Carga			Reference point id node	Celula de Carga			
Reference point id component				Reference point id component				Reference point id component				
Reference point id	Celula de Carga			Reference point id	Celula de Carga			Reference point id	Celula de Carga			
PhysicalChannelId	Input5			PhysicalChannelId	Input6			PhysicalChannelId	Input7			
Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			
Channelgroup	Vibration			Channelgroup	Vibration			Channelgroup	Vibration			
Measured quantity	Acceleration			Measured quantity	Acceleration			Measured quantity	Acceleration			
Actual sensitivity	10.7383 mV/g			Actual sensitivity	9.86549 mV/g			Actual sensitivity	10.7383 mV/g			
Transducer sn				Transducer sn				Transducer sn				
Transducer id				Transducer id				Transducer id				
Cylinder offset	0 °			Cylinder offset	0 °			Cylinder offset	0 °			
User comment				User comment				User comment				
User channel id				User channel id				User channel id				
Channel id	7			Channel id	8			Channel id	9			
Channel name	C5			Channel name	C6			Channel name	C7			
Driving point	0			Driving point	0			Driving point	0			
